arm,count,exact_match,mean_token_f1,answerable_mean_token_f1,unanswerable_exact_refusal_accuracy,exact_refusal_count,context_supported_count,context_unsupported_count,support_gate_accuracy,supported_answer_rate,unsupported_refusal_rate,unsupported_answer_rate,supported_refusal_rate,non_refusal_inline_citation_rate,mean_citation_precision,mean_citation_recall,invalid_citation_answer_count
naive,13,0.0,0.42499454409308607,0.5524929073210119,0.0,0,,,,,,,,,,,
rag_bm25,13,0.23076923076923078,0.5276950168475593,0.386003521901827,1.0,6,5,8,0.8461538461538461,1.0,0.75,0.15384615384615385,0.0,1.0,0.5,0.35,0
rag_dense,13,0.15384615384615385,0.6251813290964799,0.6127357278254238,0.6666666666666666,2,7,6,0.6923076923076923,1.0,0.3333333333333333,0.3076923076923077,0.0,1.0,0.5454545454545454,0.55,0
